OBJECTID,SITE_ID,PRIMARYSP,STATUS,LEASE_TYPE,LEASEHOLDE,CONTACT,LOCATION,WATERBODY,CITY,COUNTY,EXPIRATION,GlobalID,Acres,created_user,created_date,last_edited_user,last_edited_date,decision_url,SHAPEarea,SHAPElen
13,DAM GS2,Oysters/quahogs,A,S,"Muscongus Bay Aquaculture, Inc.",Antonina Simmons,North of Route 1 Bridge,Damariscotta River,Damariscotta,Lincoln,2023/04/21 05:00:00+00,{ECF2E2AB-AF84-4D45-AE3E-F03F5B20F3FB},5.32001838,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,https://www.maine.gov/dmr/aquaculture/leases/decisions/documents/FOFDecisionDAMGS2.pdf,21529.3505411417,636.852080828495
14,SHE SQW,American oysters,T,S,"Schweitzer, Daniel",Daniel Schweitzer,Squam Creek Salt Pond,Sheepscot River,Westport,Lincoln,2013/09/11 05:00:00+00,{10DFE651-107C-4F00-AD9F-832D47B63702},1.49055822,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,,6032.07509825565,314.641299170591
15,DAM NH2,American oysters,T,S,Sea Bounty Sea Farm,Peter Blanton,North of Wiley Point,Damariscotta River,Walpole,Lincoln,2014/01/28 05:00:00+00,{57C9063E-E44B-4790-B7A8-5C8C5BA3294D},0.92182363,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,,3730.48788897149,304.985914622863
16,STG US2,American oysters,T,S,Pemaquid Oyster Company Inc.,Christopher Davis, ,St. George River,Warren,Knox,2013/05/16 05:00:00+00,{CE0E6213-ECCB-409E-8F76-F72270231D2B},0.17029493,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,,689.159145100875,189.835898321161
17,DAM SL2,American oysters,T,S,Pemaquid Oyster Company Inc.,Christopher Davis,Schooner Landing Marina,Damariscotta River,Damariscotta,Lincoln,2013/02/20 05:00:00+00,{47936AEF-33F2-4D8A-9731-BFF7688CA5E5},0.02172995,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,,87.9380056309333,53.13751104796
21,DAM GL2,American oysters,A,S,Pemaquid Oyster Company Inc.,Christopher Davis,West of Goose Ledges,Damariscotta River,Newcastle,Lincoln,2023/02/18 05:00:00+00,{5F343C1E-388C-4FB1-BCD4-A5929223EDCD},0.91867361,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,https://www.maine.gov/dmr/aquaculture/leases/decisions/documents/2014FOFRenewalDecisionDAMGL2.pdf,3717.74019768579,353.646534500738
26,DAM GLW,American oysters,T,S,Maine Oyster Co.,Lisa Schaffer,West of southern end of Goose Ledges,Damariscotta River,Newcastle,Lincoln,2013/07/04 05:00:00+00,{2147119E-28D9-4B3B-9D95-D7C8BC422FC9},1.12237051,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,,4542.07229061323,269.583677737061
27,DAM HI3,Oysters/clams/scallops,A,S,"Muscongus Bay Aquaculture, Inc.",Antonina Simmons,Hog Island,Damariscotta River,Damariscotta,Lincoln,2024/04/28 05:00:00+00,{9B6DADED-176D-469F-BC26-D306BB0C758D},6.98177302,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,https://www.maine.gov/dmr/aquaculture/leases/decisions/documents/FOFDecisionDAMH13signed.pdf,28254.2330034935,727.974175180758
28,STG BPT3,American oysters,T,S,"Marshall Point Sea Farm, LLC",Weatherly Phillips,Bradford Point,St. George River,Cushing,Knox,2014/01/28 05:00:00+00,{16423327-C75E-4D85-92AB-576F385CF798},15.84381191,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,,64117.6319928784,1522.46833926304
29,DAM EL2,American oysters,T,S,Mook Sea Farms Inc.,William Mook,Little Point,Damariscotta River,Damariscotta and Newcastl,Lincoln,2018/03/03 05:00:00+00,{07FD48FF-9A26-4E9C-A539-4D5755ECC148},4.38552312,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,,17747.5824050777,1239.51067947361
30,DAM EL2,American oysters,T,S,Mook Sea Farms Inc.,William Mook,Little Point,Damariscotta River,Damariscotta and Newcastl,Lincoln,2018/03/03 05:00:00+00,{D9142886-C4B2-4D91-B08A-E23B9C330F97},3.60246094,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,,14578.6421983543,630.177066872574
31,DAM EL,American oysters,T,S,Mook Sea Farms Inc.,William Mook,East of Little Point,Damariscotta River,Newcastle,Lincoln,2016/08/27 05:00:00+00,{7CE97A3D-B47F-4506-AC98-305CEAB38A48},4.81720952,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,,19494.5553015812,832.006091967857
32,STG BC,American oysters,T,S,"McBean, Peter and Susan",Peter McBean,Broad Cove,St. George River,Cushing,Knox,2014/01/28 05:00:00+00,{29B278AD-35B5-474E-98F5-D2B5BD41AE77},4.98965945,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,,20192.4353844775,569.779047972586
33,BAG SB,American oysters,P,S,"Leach, Jesse",Jesse Leach,West of Bear Head,Bagaduce River,Brooksville and Sedgwick,Hancock,2020/02/14 05:00:00+00,{9E172C7B-D1F6-4A7B-A9E8-69D54E4FFCFC},4.11733344,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,https://www.maine.gov/dmr/aquaculture/leases/decisions/documents/bagsbrenewal2009.pdf,16662.2572858291,547.793330328557
34,DYER BP,Blue mussels,T,S,"Kief, Timothy",Ralph Jacobs,North of Birch Point,Dyer Bay,Steuben,Washington,2010/08/21 05:00:00+00,{180F9CC2-7A8A-4381-B5D4-63FA39C01185},20.98979759,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,,84942.6971748085,1207.63165017829
35,DAM PPN,American oysters,A,S,"Norumbega Oysters, Inc.",Eric Peters,Northeast of Perkins Point,Damariscotta River,Newcastle,Lincoln,2024/07/11 05:00:00+00,{0D5056F4-9AD5-4C5B-86D6-22AB65982D95},5.86380648,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,https://www.maine.gov/dmr/aquaculture/leases/decisions/documents/FOFDecisionDAMPPN.pdf,23729.9829266479,1006.72588113765
36,PISC WI,Green sea urchins,T,S,"Hill, Chris",Chris Hill,Southeast of Wood Island,Portsmouth Harbor,Kittery,York,2011/05/28 05:00:00+00,{B82838AF-6D3A-49FF-9349-8F432D18516E},3.74871283,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,,15170.5025771714,537.709539367262
37,DAM JP,American oysters,A,S,Glidden Point Oyster Company,Ryan McPherson,South of Jacks Point,Damariscotta River,Newcastle,Lincoln,2023/03/28 05:00:00+00,{8E86BF05-E9FF-499E-B171-7908E28322FB},2.45683421,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,https://www.maine.gov/dmr/aquaculture/leases/decisions/documents/FOFandDecisionDAMJP.pdf,9942.45528378289,531.376120901788
38,DAM DL,American oysters,T,S,Glidden Point Oyster Company,Barbara Scully,Dodge Lower Cove,Damariscotta River,Edgecomb,Lincoln,2010/03/01 05:00:00+00,{0DC1C6B9-7A88-4967-A54D-77ECAFED19F8},4.73310768,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,,19154.207206303,569.719641530361
39,FLAN WN,Blue mussels,A,S,"Acadia Aqua Farms, LLC.",Theo and Fiona de Koning,Waukeag Neck,Flanders Bay,Sorrento,Hancock,2027/09/15 05:00:00+00,{EE53E8A8-03F6-4371-A0EA-D792488AD0F6},14.3480873,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,https://www.maine.gov/dmr/aquaculture/leases/decisions/documents/AcadiaAqua-RenewalDecision-FLANWN.pdf,58064.6492246047,947.746356282561
40,PEN SN3,Blue mussels,A,S,"Acadia Aqua Farms, LLC.",Theo and Fiona de Koning,"Mud Cove, Stinson Neck",Penobscot Bay,Deer Isle,Hancock,2025/05/27 05:00:00+00,{85B19757-3AEA-4A6B-943B-E5DF1DF244BC},14.99565213,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,https://www.maine.gov/dmr/aquaculture/leases/decisions/documents/FOFDecisilonPENSN3.pdf,60685.2511321803,1008.27851782334
42,NMR NML,American oysters,A,S,"Dodge Cove Marine Farm, LLC",Antonina Simmons,New Meadows Lake,New Meadows River,Brunswick,Cumberland,2023/04/17 05:00:00+00,{AA9F5A3A-A4D0-4AD8-ABED-85E35204FF68},0.39061056,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,https://www.maine.gov/dmr/aquaculture/leases/decisions/documents/FOFDecisionNMRNML.pdf,1580.74483801637,164.584686898326
43,DAM HI2,American oysters,A,S,"Dodge Cove Marine Farm, LLC",Antonina Simmons,South of Hog Island,Damariscotta River,Damariscotta,Lincoln,2022/05/16 05:00:00+00,{C401AC49-49E4-4F9A-81BF-3B48B3CD75B0},6.94860178,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,https://www.maine.gov/dmr/aquaculture/leases/decisions/documents/FOFDecisionDAMHI2.pdf,28119.9937561047,686.3362612424
44,DAM HI,Oysters/clams/scallops,A,S,"Dodge Cove Marine Farm, LLC",Antonina Simmons,South of Hog Island,Damariscotta River,Damariscotta,Lincoln,2024/12/28 05:00:00+00,{E479BCA9-5E78-4AF3-A460-C2C14F4181D5},2.00491529,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,https://www.maine.gov/dmr/aquaculture/leases/decisions/documents/DecisionDAMHI.pdf,8113.60430355923,365.450585121207
45,DAM LW,American oysters/sea scallops/green sea urchins,T,S,Univ. of Maine Darling Marine Center,Dana Morse,Lowes Cove,Damariscotta River,Walpole,Lincoln,2012/08/01 05:00:00+00,{52CA39EA-F62A-4AF6-AEAA-6758870AE7D1},0.57645952,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,,2332.84891917049,213.123707367013
46,SHE SQ2,American oysters,A,S,Westport Oyster Company,Andrew Johnson/Samuel Chapman,Squam Creek Salt Pond,Sheepscot River,Westport,Lincoln,2023/09/11 05:00:00+00,{DA849750-2E31-49C7-9C46-B7F27CE57244},0.56763183,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,https://www.maine.gov/dmr/aquaculture/leases/decisions/documents/FOFDecisionSHESQ2.pdf,2297.12452867118,246.790897006189
47,COB EB,Sea scallops,T,S,Ocean Harvest,Larry Matthews,"Southeast of Leach Point, East Bay",Cobscook Bay,Perry,Washington,2008/03/27 05:00:00+00,{E0B512B4-575C-4836-8DC3-6D7D76D49302},4.90797447,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,,19861.8680078178,565.736922459824
48,NMR MC,American oysters/quahogs,A,S,Winter Point Inc.,David Hennessey,Mill Cove,New Meadows River,West Bath,Sagadahoc,2021/10/21 05:00:00+00,{0A12C54B-196C-46B7-AAA8-63A822711E21},13.4625713,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,https://www.maine.gov/dmr/aquaculture/leases/decisions/documents/EXECUTEDDecisionNMRMC.pdf,54481.0931462109,1243.46601037181
49,MAQ BR1,American oysters,A,S,"Horne, Christian",Christian Horne,Maquoit Bay,Casco Bay,Freeport,Cumberland,2025/06/30 05:00:00+00,{51FA4218-019C-4A40-955E-3E6726CB6A9D},5.17250565,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,https://www.maine.gov/dmr/aquaculture/leases/decisions/documents/FOFdecisionMAQBR1transfer6-19-14.pdf,20932.3877115451,622.530685982725
50,PEN SN3,Blue mussels,A,S,"Acadia Aqua Farms, LLC.",Theo and Fiona de Koning,"Mud Cove, Stinson Neck",Penobscot Bay,Deer Isle,Hancock,2025/05/27 05:00:00+00,{9E8587C1-C1D0-46DA-9A5D-FFE599AE29A2},24.9147244,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,https://www.maine.gov/dmr/aquaculture/leases/decisions/documents/FOFDecisilonPENSN3.pdf,100826.312467655,1487.40674671603
51,BHB SP,Blue mussels,A,S,"Tightrope Seafarms, LLC.",Evan Young,Blue Hill Salt Pond,Blue Hill Bay,Blue Hill,Hancock,2039/02/17 05:00:00+00,{E12F3C26-BE54-4521-815D-187EB042823C},0.92569927,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,https://www.maine.gov/dmr/aquaculture/leases/decisions/documents/bhbsprenewal2009.pdf,3746.17203228493,244.85970657772
52,BHB SP,Blue mussels,A,S,"Tightrope Seafarms, LLC.",Evan Young,Blue Hill Salt Pond,Blue Hill Bay,Blue Hill,Hancock,2039/02/17 05:00:00+00,{3CB02428-BC77-4199-8A29-1B8DC0B53F2F},12.53897698,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,https://www.maine.gov/dmr/aquaculture/leases/decisions/documents/bhbsprenewal2009.pdf,50743.4395014408,1279.33225798682
53,BHB SP,Blue mussels,A,S,"Tightrope Seafarms, LLC.",Evan Young,Blue Hill Salt Pond,Blue Hill Bay,Blue Hill,Hancock,2039/02/17 05:00:00+00,{AC2F38EC-673F-4080-9A76-0F8A24E1D875},4.12491488,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,https://www.maine.gov/dmr/aquaculture/leases/decisions/documents/bhbsprenewal2009.pdf,16692.9382620818,548.952393787766
54,FREN SB,Blue mussels,T,S,Shain Stanley,Babe Stanley,South of Bean Island,Frenchman Bay,Sorrento,Hancock,2014/05/04 05:00:00+00,{202D17D4-8E1F-4DBC-B980-C1AC672B0A2B},9.96159169,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,,40313.1313226887,906.474634832176
55,DAM PP,American oysters,T,S,"Mook Sea Farm, Inc.",William Mook,North of Perkins Point,Damariscotta River,Newcastle,Lincoln,2020/07/19 05:00:00+00,{1088E3F3-A396-43E3-BD6A-86A2D4E20EC8},24.00831758,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,,97158.2141734193,1718.67676351522
56,CAS BA2,Blue mussels/oysters/scallops/clams/seaweed,A,S,"Wild Ocean Aquaculture, LLC.",Matthew Moretti,West of Bangs Island,Casco Bay,Chebeague Island,Cumberland,2023/09/25 05:00:00+00,{261FE4AB-62EC-41B2-92DA-7635B17DDD63},1.99044734,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,https://www.maine.gov/dmr/aquaculture/leases/decisions/documents/FOFDecisionSignedCASBA2.pdf,8055.05461524486,552.687624983354
57,STG OC,American oysters,T,S,Port Clyde Oyster Company,Timothy Dowling,Otis Cove,St. George River,Tenants Harbor,Knox,2014/05/13 05:00:00+00,{C794BC7E-0A6F-4AE2-A3C0-6B335790DA83},1.61201328,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,,6523.58629414742,331.53439240625
58,EAST OP2,Blue mussels,A,S,"Acadia Aqua Farms, LLC.",Theo and Fiona de Koning,Mount Desert Narrows,Eastern Bay,Lamoine,Hancock,2024/04/28 05:00:00+00,{DD3B0D79-634B-4357-B1CE-19D14C9C6550},31.59098686,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,https://www.maine.gov/dmr/aquaculture/leases/decisions/documents/eastop2transfer2009.pdf,127844.188050001,1768.96642016336
59,PEN BB,Blue mussels,A,S,Bayside Mussel Farm,Joe Larrabee,Belfast Harbor,Penobscot Bay,Northport,Waldo,2024/06/01 05:00:00+00,{83C7D223-2D40-419B-82BE-2888C493788D},6.02891134,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,https://www.maine.gov/dmr/aquaculture/leases/decisions/documents/2014FOFRenewalDecisionPENBB.pdf,24398.138563457,655.495234198333
60,WES BC,American oysters,A,S,"Tripp, Krista",Krista Tripp, ,Weskeag River,South Thomaston,Knox,2024/07/27 05:00:00+00,{7484C6EE-9408-4C5F-8A65-AFE23AF34FCC},0.27126046,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,https://www.maine.gov/dmr/aquaculture/leases/decisions/documents/Decision-TransferWESBC.pdf,1097.75212663276,254.682510586844
61,WES BC,American oysters,A,S,"Tripp, Krista",Krista Tripp, ,Weskeag River,South Thomaston,Knox,2024/07/27 05:00:00+00,{B07C49C7-8C8C-46D5-A7E8-2891F3CE15B5},0.01604101,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,https://www.maine.gov/dmr/aquaculture/leases/decisions/documents/Decision-TransferWESBC.pdf,64.9156782879549,28.5977557710562
62,WES BC,American oysters,A,S,"Tripp, Krista",Krista Tripp, ,Weskeag River,South Thomaston,Knox,2024/07/27 05:00:00+00,{F8B9B55E-2E8D-4FB4-BD2F-3D82D1E4935A},0.01603563,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,https://www.maine.gov/dmr/aquaculture/leases/decisions/documents/Decision-TransferWESBC.pdf,64.8938857329063,28.5929549514261
63,WES BC,American oysters,A,S,"Tripp, Krista",Krista Tripp, ,Weskeag River,South Thomaston,Knox,2024/07/27 05:00:00+00,{03FBCE3A-4E51-48AC-A293-4950D2218872},0.33214667,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,https://www.maine.gov/dmr/aquaculture/leases/decisions/documents/Decision-TransferWESBC.pdf,1344.14986734489,244.925631895913
64,WES BC,American oysters,A,S,"Tripp, Krista",Krista Tripp, ,Weskeag River,South Thomaston,Knox,2024/07/27 05:00:00+00,{A637B7A0-C715-44DB-9198-6D5DFAF091F0},0.33238142,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,https://www.maine.gov/dmr/aquaculture/leases/decisions/documents/Decision-TransferWESBC.pdf,1345.09988362519,166.156037166334
65,MED GI,American oysters/sea scallops,A,S,Gay Island Oyster Farm,Jeffrey Metzmaker,West side of Gay Island,Meduncook River,Cushing,Knox,2024/08/25 05:00:00+00,{AE4FFAA4-A753-4288-A183-73A91C64758E},1.72582721,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,https://www.maine.gov/dmr/aquaculture/leases/decisions/documents/FOFDecisionMEDGItransfer.pdf,6984.17492973992,363.084863457145
66,CAS CF2,Blue mussels/Marine algae,T,S,"Wild Ocean Aquaculture, LLC.",Matthew Moretti,Southeast of Clapboard Island,Casco Bay,Falmouth,Cumberland,2023/09/25 05:00:00+00,{240D88E0-D9FE-4CAD-BE01-9B46BACCDBDE},1.68023705,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,https://www.maine.gov/dmr/aquaculture/leases/decisions/documents/FOFDecisionSignedforCASCF2.pdf,6799.67810356894,430.307335750438
67,SHE LE,American oysters,A,S,"Maine Oyster, Inc.",Eric Horne/Valy Steverlynck,Between Cunningham and Lehman Island,Sheepscot River,Newcastle,Lincoln,2024/11/01 05:00:00+00,{E8D7730D-7077-4BA5-884C-3C32354A8088},2.97172602,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,https://www.maine.gov/dmr/aquaculture/leases/decisions/documents/FOFDecisionSHELE.pdf,12026.1485242485,686.858031269144
68,MAQ BRW,American oysters,A,S,"Bradley, Edward and Christian Horne",Edward Bradley/Christian Horne,Maquoit Bay,Casco Bay,Freeport,Cumberland,2024/06/24 05:00:00+00,{5CB48461-BFF8-4803-915A-78F2C3FBA59D},4.95108837,,1970/01/01 00:00:00+00,MEDMR,2020/11/05 22:03:30+00,https://www.maine.gov/dmr/aquaculture/leases/decisions/documents/FOFDecisionMAQBRE-MaineOysterandBradley.pdf,20036.3437880421,603.024666990794
69,DAM CC,Bue mussels,T,S,"Damariscove Seafood, LLC",Peter Fischer,Clarks Cove,Damariscotta River,South Bristol,Lincoln,2014/12/01 05:00:00+00,{47791484-AD16-47CF-A51B-7C662775D989},1.00935336,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,,4084.7081344922,326.658756192716
70,PINK PS,American oysters,T,E,Petit Manan Seafood,Charles Wallace,Pinkham Stream,Pinkham Bay,Steuben,Washington,2006/07/30 05:00:00+00,{B8104D00-050E-4FDE-95A0-CEB5B852745F},1.65917774,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,,6714.4540984991,597.9224620557
71,PINK PS,American oysters,T,E,Petit Manan Seafood,Charles Wallace,Pinkham Stream,Pinkham Bay,Steuben,Washington,2006/07/30 05:00:00+00,{58CA31DF-D4CB-4B95-8EB0-F4FE764309C0},0.05805254,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,,234.93028181948,74.1468877176544
72,OHP VH,American oysters,T,E,"Weller, David and Melissa Berry",David Weller and Melissa Berry, ,Old Harbor Pond,Vinalhaven,Knox,2006/07/07 05:00:00+00,{0CBEC836-11A9-4F1E-BFE1-BF5E5D9E041F},1.83550694,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,,7428.0330608717,426.578929166294
73,BHB LI,Blue mussels,T,E,"Gray, Terry",Terry Gray,East of Long Island,Blue Hill Bay,Blue Hill,Hancock,2006/06/22 05:00:00+00,{03CE0B82-A705-47DE-AE65-B62D9FA23689},1.93848404,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,,7844.76660124626,451.073085878341
74,DAM DP2,American oysters,T,E,"Wallace, Robert",Robert Wallace,Dodge Point,Damariscotta River,Newcastle,Lincoln,2007/06/15 05:00:00+00,{A3232C03-8118-44F3-A158-0ABA623C9344},1.99860644,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,,8088.07332471616,359.734865249956
75,WES NC,American oysters,T,E,Ralph Hamill / Weskeag Fisheries,Ralph Hamill, ,Weskeag River,South Thomaston,Knox,2006/12/22 05:00:00+00,{15E11DC8-509D-4E5E-8F93-933E9F34FFA3},0.46365625,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,,1876.3502584679,183.540591402902
76,PIER SR,Rainbow trout,T,F,Pierce Associates Inc.,Sonny Pierce,"East side of Birch Point, next to Mason Station power",Sheepscot River,Wiscasset,Lincoln,2008/07/21 05:00:00+00,{783265C4-147F-4C56-BD3E-261A6BC742AB},3.23649126,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,,13097.6154478351,475.323516872287
77,SWAN HS,Atlantic salmon,A,F,"Cooke Aquaculture USA, Inc.",Jennifer Robinson,"Scrag Island, South of Harbor Island",Toothacker Bay,Swans Island,Hancock,2024/06/14 05:00:00+00,{83327C36-8E6C-4FC8-A01C-E0476587EF40},15.60680641,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,https://www.maine.gov/dmr/aquaculture/leases/decisions/documents/FOFdecisionleaseSWANHS.pdf,63158.504734135,1377.43789446393
78,SWAN TC,Atlantic salmon,T,F,Island Aquaculture Corp.,David Miller/Jennifer Robinson,Toothacker Cove,Toothacker Bay,Swans Island,Hancock,2009/06/04 05:00:00+00,{B011B925-7C55-479E-80E6-5FA6B57B062B},18.03614854,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,,72989.7035624935,1146.20804408254
